,Start Date,Subject,Start Time,End Date,End Time,All day,Calendar Name,Repeats,Repeats Until,Created By,Updated By,Creation Date,Last Update Date,Who,Location,Description
,02/27/2023,261444-001/801 (cpe) | 261742-001 (mcpe),8:00 AM,02/27/2023,9:30 AM,,Diary,"Weekly on Monday and Thursday until March 17, 2023",03/17/2023,MEK WISARUT,,03/04/2023 1:13,,juggapong,RTT3,
,02/27/2023,261449-001/801 (cpe),9:30 AM,02/27/2023,11:00 AM,,Diary,"Weekly on Monday and Thursday until March 17, 2023",03/17/2023,MEK WISARUT,,03/04/2023 1:13,,lachana,518,
,02/27/2023,261458-001/801 (cpe) | 261895-001 (mcpe),9:30 AM,02/27/2023,11:00 AM,,Diary,"Weekly on Monday and Thursday until March 17, 2023",03/17/2023,MEK WISARUT,,03/04/2023 1:14,,karn,521,
,02/27/2023,261494-003/803 (cpe) | 269494-703 (isne),9:30 AM,02/27/2023,11:00 AM,,Diary,"Weekly on Monday and Thursday until March 17, 2023",03/17/2023,MEK WISARUT,,03/04/2023 1:14,,dome,402,
,02/27/2023,261755-001 (mcpe),9:30 AM,02/27/2023,11:00 AM,,Diary,"Weekly on Monday and Thursday until March 17, 2023",03/17/2023,MEK WISARUT,,03/04/2023 1:14,,sansanee,404,
,02/27/2023,261200-001/801 (cpe2/cpe2s),9:30 AM,02/27/2023,10:30 AM,,Diary,"Weekly on Monday and Thursday until March 17, 2023",03/17/2023,MEK WISARUT,,03/04/2023 1:14,,chinawat,516,
,02/27/2023,261441-001/801 (cpe) | 261722-001 (mcpe),11:00 AM,02/27/2023,12:30 PM,,Diary,"Weekly on Monday and Thursday until March 17, 2023",03/17/2023,MEK WISARUT,,03/04/2023 1:08,,paskorn,518,
,03/02/2023,261444-001/801 (cpe) | 261742-001 (mcpe),8:00 AM,03/02/2023,9:30 AM,,Diary,"Weekly on Monday and Thursday until March 17, 2023",03/17/2023,MEK WISARUT,,03/04/2023 1:13,,juggapong,RTT3,
,03/02/2023,261449-001/801 (cpe),9:30 AM,03/02/2023,11:00 AM,,Diary,"Weekly on Monday and Thursday until March 17, 2023",03/17/2023,MEK WISARUT,,03/04/2023 1:13,,lachana,518,
,03/02/2023,261458-001/801 (cpe) | 261895-001 (mcpe),9:30 AM,03/02/2023,11:00 AM,,Diary,"Weekly on Monday and Thursday until March 17, 2023",03/17/2023,MEK WISARUT,,03/04/2023 1:14,,karn,521,
,03/02/2023,261494-003/803 (cpe) | 269494-703 (isne),9:30 AM,03/02/2023,11:00 AM,,Diary,"Weekly on Monday and Thursday until March 17, 2023",03/17/2023,MEK WISARUT,,03/04/2023 1:14,,dome,402,
,03/02/2023,261755-001 (mcpe),9:30 AM,03/02/2023,11:00 AM,,Diary,"Weekly on Monday and Thursday until March 17, 2023",03/17/2023,MEK WISARUT,,03/04/2023 1:14,,sansanee,404,
,03/02/2023,261200-001/801 (cpe2/cpe2s),9:30 AM,03/02/2023,10:30 AM,,Diary,"Weekly on Monday and Thursday until March 17, 2023",03/17/2023,MEK WISARUT,,03/04/2023 1:14,,chinawat,516,
,03/02/2023,261441-001/801 (cpe) | 261722-001 (mcpe),11:00 AM,03/02/2023,12:30 PM,,Diary,"Weekly on Monday and Thursday until March 17, 2023",03/17/2023,MEK WISARUT,,03/04/2023 1:08,,paskorn,518,
